10,Italy,"Elegance, complexity and structure come together in this drop-dead gorgeous winethat ranks among Italy's greatest whites. It opens with sublime yellow spring flower, aromatic herb and orchard fruit scents. The creamy, delicious palate seamlessly combines juicy white peach, ripe pear and citrus flavors while white almond and savory mineral notes grace the lingering finish.",Ronco della Chiesa,95,80.0,Northeastern Italy,Collio,,Friulano,Borgo del Tiglio
11,US,"From 18-year-old vines, this supple well-balanced effort blends flavors of mocha, cherry, vanilla and breakfast tea. Superbly integrated and delicious even at this early stage, this wine seems destined for a long and savory cellar life. Drink now through 2028.",Estate Vineyard Wadensvil Block,95,48.0,Oregon,Ribbon Ridge,Willamette Valley,Pinot Noir,Patricia Green Cellars
12,US,"A standout even in this terrific lineup of 2015 releases from Patricia Green, the Weber opens with a burst of cola and tobacco scents and accents. It continues, subtle and detailed, with flavors of oranges, vanilla, tea and milk chocolate discreetly threaded through ripe blackberry fruit.",Weber Vineyard,95,48.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Patricia Green Cellars
13,France,This wine is in peak condition. The tannins and the secondary flavors dominate this ripe leather-textured wine. The fruit is all there as well: dried berries and hints of black-plum skins. It is a major wine right at the point of drinking with both the mature flavors and the fruit in the right balance.,Château Montus Prestige,95,90.0,Southwest France,Madiran,,Tannat,Vignobles Brumont
14,US,"With its sophisticated mix of mineral, acid and tart fruits, this seductive effort pleases from start to finish. Supple and dense, it's got strawberry, blueberry, plum and black cherry, a touch of chocolate, and that underlying streak of mineral. All these elements are in good proportion and finish with an appealing silky texture. It's delicious already, but give it another decade for full enjoyment. Drink now through 2028.",Grace Vineyard,95,185.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Domaine Serene
15,US,"First made in 2006, this succulent luscious Chardonnay is all about minerality. It's got a rich core of butterscotch and the seemingly endless layers of subtle flavors that biodynamic farming can bring. It spends 18 months on the lees prior to bottling. Drink now through 2028.",Sigrid,95,90.0,Oregon,Willamette Valley,Willamette Valley,Chardonnay,Bergström
16,US,"This blockbuster, powerhouse of a wine suggests blueberry pie and chocolate as it opens in the glass. On the palate, it's smooth and seductively silky, offering complex cedar, peppercorn and peppery oak seasonings amidst its dense richness. It finishes with finesse and spice.",Rainin Vineyard,95,325.0,California,Diamond Mountain District,Napa,Cabernet Sauvignon,Hall
17,Spain,"Nicely oaked blackberry, licorice, vanilla and charred aromas are smooth and sultry. This is an outstanding wine from an excellent year. Forward barrel-spice and mocha flavors adorn core blackberry and raspberry fruit, while this runs long and tastes vaguely chocolaty on the velvety finish. Enjoy this top-notch Tempranillo through 2030.",6 Años Reserva Premium,95,80.0,Northern Spain,Ribera del Duero,,Tempranillo,Valduero
18,France,"Coming from a seven-acre vineyard named after the dovecote on the property, this is a magnificent wine. Powered by both fruit tannins and the 28 months of new wood aging, it is darkly rich and with great concentration. As a sign of its pedigree, there is also elegance here, a restraint which is new to this wine. That makes it a wine for long-term aging. Drink from 2022.",Le Pigeonnier,95,290.0,Southwest France,Cahors,,Malbec,Château Lagrézette
19,US,"This fresh and lively medium-bodied wine is beautifully crafted, with cherry blossom aromas and tangy acidity. Layered and seductive, it offers a crisp mix of orange peel, cherry, pomegranate and baking spice flavors that are ready for the table or the cellar.",Gap's Crown Vineyard,95,75.0,California,Sonoma Coast,Sonoma,Pinot Noir,Gary Farrell
20,US,"Heitz has made this stellar rosé from the rare Grignolino grape since 1961. Ruby grapefruit-red, it's sultry with strawberry, watermelon, orange zest and salty spice flavor, highlighted with vibrant floral aromas.",Grignolino,95,24.0,California,Napa Valley,Napa,Rosé,Heitz
21,Spain,"Alluring, complex and powerful aromas of grilled meat, berries, tea, smoke, vanilla and spice cover every base. An intense palate is concentrated but still elegant. Blackberry, molasses and mocha flavors finish with chocolaty oak notes, fine tannins and overall cohesion. Drink this special Rioja from 2020 through 2035.",Prado Enea Gran Reserva,95,79.0,Northern Spain,Rioja,,Tempranillo Blend,Muga
22,Spain,"Tarry blackberry and cheesy oak aromas are appropriate for a wine of this size and magnitude. In the mouth, this Tinta de Toro is expansive and grabby, with bullish tannins. Slightly salty earthy accents come with core blackberry flavors and notes of baking spices and chocolate, while on the finish this is long, chocolaty, delicious and not too hard or tannic. Drink through 2023.",Termanthia,95,220.0,Northern Spain,Toro,,Tinta de Toro,Numanthia
23,US,"The apogee of this ambitious winery's white wine efforts, this bottling of just two barrels of Clone 5 shows focused marzipan, marcona almond and white peach notes on the nose. The palate sizzles with saltiness and a lemony acidity that cuts through its brown butter richness with finesse. The finish is luxurious and long.",Giallo Solare,95,60.0,California,Edna Valley,Central Coast,Chardonnay,Center of Effort
24,US,"San Jose-based producer Adam Comartin heads 1,100 feet up into the mountains to source fruit for this tremendous wine, which offers wild cherry, sage, and eucalyptus scents on the nose. Ripe black plum and strawberry fruit lead the palate, followed by acid-driven waves of juniper, pine and bay leaf, finishing with a menthol-like sensation.",R-Bar-R Ranch,95,45.0,California,Santa Cruz Mountains,Central Coast,Pinot Noir,Comartin
25,New Zealand,"Yields were down in 2015, but intensity is up, giving this medium-bodied, silky wine the potential to drink well through at least 2025. Hickory smoke outlines white peach before ending in a long flurry of lime zest.",Maté's Vineyard,94,57.0,Kumeu,,,Chardonnay,Kumeu River
26,US,"Bergström has made a Shea designate since 2003, intent on showcasing a “pretty” style of the vineyard. Here are lovely aromatics, with grape jelly, rose petals and plum in the nose, and a complex run of red fruits in the mouth. Streaks of cola, brown sugar and more come up in a generous finish.",Shea Vineyard,94,62.0,Oregon,Willamette Valley,,Pinot Noir,Bergström
27,US,"Focused and dense, this intense wine captures the essence of ripe raspberries. Aged in 50% new French oak, it's got a strong vein of coffee and mocha. The flavors broaden out and penetrate, finishing with highlights of cedar, cinnamon and dark chocolate. Drink now through the 2020s, but decant if you want the full expression.",Abetina,94,105.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Ponzi
28,US,"Cranberry, baked rhubarb, anise and crushed slate aromas show on the nose of this always-excellent bottling from the Franscioni family. The palate abounds with energy, driving black raspberry fruit accented with earthy loam, fennel, oregano and juniper through a compellingly round midpalate.",Garys' Vineyard,94,60.0,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Roar
29,US,"This standout Rocks District wine brings earth shaking aromas of black-olive brine, tapenade, green olive, stargazer lilies, orange peel and crushed gravel. The smoked meat, charcuterie and blue-fruit flavors don't hold back, bringing a lovely sense of texture and detail. It's an intense wine that completely demands your attention.",The Funk Estate,94,60.0,Washington,Walla Walla Valley (WA),Columbia Valley,Syrah,Saviah
30,Bulgaria,"This Bulgarian Mavrud presents the nose with suggestions of dried cherry, black plum, freshly ground black pepper and a whiff of eucalyptus. In the mouth it is balanced with soft tannins mingling with dried cherry, cassis and black plum.",Bergulé,90,15.0,Bulgaria,,,Mavrud,Villa Melnik
31,US,"Steely and perfumed, this wine sees only 20% new French oak, remaining vibrantly fresh. Baked apple and lemon pith veer into grapefruit on the palate, with spiciness to the finish that's both brash and loud.",Babushka,90,37.0,California,Russian River Valley,Sonoma,Chardonnay,Zepaltas
32,Italy,"Underbrush, scorched earth, menthol and plum steeped in spirits are some of the aromas that unfold on the glass. The big, chewy palate doles out ripe wild cherry, raspberry jam, ground pepper and licorice alongside firm, velvety tannins. You'll also detect the warmth of alcohol on the finish.",Vigna Piaggia,90,,Tuscany,Brunello di Montalcino,,Sangiovese,Abbadia Ardenga
33,France,"Pale in color, this is nutty in character, with a warm and rounded hint of red fruits. The wine has a soft, while still fresh, aftertaste. It is aged in cellars in Saumur on the Loire river.",Nonpareil Trésor Rosé Brut,90,22.0,France Other,Vin Mousseux,,Sparkling Blend,Bouvet-Ladubay
34,US,"The aromas entice with notes of wet stone, honeysuckle, chamomile and stone fruit. The palate is generous in flavor and feel, showing a fine sense of balance.",Conner Lee Vineyard,90,42.0,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Buty
35,Italy,"Forest floor, tilled soil, mature berry and a whiff of new leather combine on this. The ripe palate offers fleshy black cherry, dried aromatic herb and tobacco, while fine-grained tannins give the finish some grip. Drink 2018–2023.",Riserva,90,135.0,Tuscany,Brunello di Montalcino,,Sangiovese,Carillon
36,France,"Gingery spice notes accent fresh pear and melon fruit in this medium- to full-bodied wine. It's round on the palate but not flabby, with a warm, spicy finish. Drink now.",,90,60.0,Rhône Valley,Châteauneuf-du-Pape,,Rhône-style White Blend,Clos de L'Oratoire des Papes
37,Italy,"Aromas of forest floor, violet, red berry and a whiff of dark baking spice unfold in the glass while wild cherry, black raspberry, ground pepper and star anise drive the palate. Framed in firm, fine-grained tannins, this is a classic Tuscan red. Drink through 2020.",,90,29.0,Tuscany,Vino Nobile di Montepulciano,,Sangiovese,Avignonesi
38,Italy,"This has a charming nose that boasts rose, violet and red berry while the juicy, easy-drinking palate offers ripe wild cherry, chopped mint, white pepper and a hint of star anise. There isn't much complexity but it is savory and balanced, with fresh acidity and supple tannins.",,90,23.0,Tuscany,Chianti Classico,,Sangiovese,Casina di Cornia
39,Italy,"This bright, savory wine delivers aromas and flavors of juicy wild cherry, black raspberry, violet, white pepper and mocha. Polished tannins provide the framework. Enjoy through 2020.",Riserva,90,29.0,Tuscany,Chianti Classico,,Red Blend,Castello di Monterinaldi
40,Spain,"Earthy plum and cherry aromas score points for being clear and direct. The palate on this varietal Mencía is round, smooth and just right. Lightly briny, earthy plum and cherry flavors hold steady on the finish, with a dash of saltiness.",Amandi,90,17.0,Galicia,Ribeira Sacra,,Mencía,Don Bernardino
41,Spain,"This comes across wide and expansive as it lazily exudes oily aromas of hazelnut and toffee. A plump palate is not overly cutting or demanding, while flavors of lightly salted nuts and buttered toast end with toffee and peanut flavors.",Alfonso Oloroso Seco,90,26.0,Andalucia,Jerez,,Palomino,González Byass
42,US,"This is an aromatic brooder with aromas of scorched earth, plum, dried flowers and green herbs. It's full in feel with dense, dark-fruit flavors, tightly coiled tannins and tart acids—a pleasing example of the variety.",Private Reserve,90,55.0,Idaho,,,Petite Sirah,Huston
43,Italy,"Aromas of dark-skinned berry, rose and wild herb lead the nose. The round, juicy palate doles out ripe black cherry, fleshy raspberry, white pepper and clove while polished tannins provide a smooth, velvety framework. Enjoy through 2019.",Riserva,90,39.0,Tuscany,Chianti Classico,,Red Blend,Rignana
44,France,"Dark in color and in flavor profile, this medium-bodied Cornas boasts aromas and flavors reminiscent of chocolate fudge, espresso and plummy fruit, all framed by soft, dusty tannins. Drink now–2025.",Coteaux,90,69.0,Rhône Valley,Cornas,,Syrah,Tardieu-Laurent
45,Italy,"A blend of 90% Sangiovese and 10% Canaiolo, this opens with aromas of violet, mature plum, espresso and a whiff of forest floor. The firm palate offers dried black cherry, ground pepper, toast and clove while packed, fine-grained tannins provide support. Drink through 2020.",Vigneto Odoardo Beccari Riserva,90,30.0,Tuscany,Chianti Classico,,Red Blend,Vignavecchia
46,Italy,"Sunbaked earth, ripe berry, baking spice and a whiff of menthol meld in the glass. The juicy palate offers red cherry, pomegranate, star anise, mocha and a hint of tobacco alongside fine-grained tannins.",Poggio alle Mura,90,90.0,Tuscany,Brunello di Montalcino,,Sangiovese,Banfi
47,US,"Blended with 9% Malbec, 9% Cabernet Franc and 5% Petit Verdot, this is a perennial classic for the winery, the sister brand of Cuvaison. Juicy in cherry and cassis, it sustains big, pillowy tannins and tar, suggesting more time for the fruit to match up with the structure. Drink through 2020.",Estate Grown,90,60.0,California,Mount Veeder,Napa,Cabernet Sauvignon,Brandlin
48,Italy,"Ripe dark-skinned berry, forest floor and cooking spice aromas lead the nose along with a whiff of new leather. The chewy palate offers fleshy black cherry, cinnamon, vanilla and a hint of tobacco while polished tannins provide the framework. This is already accessible so no need to cellar it for years. Best through 2021.",,90,50.0,Tuscany,Brunello di Montalcino,,Sangiovese,Brunelli Martoccia
49,US,"The aromas of blue fruit, herbs and spice are initially under tight restraint. The flavors are full, with the tannins simultaneously firm and fine grained. It shows good length.",,90,40.0,Washington,Red Mountain,Columbia Valley,Cabernet Sauvignon,Canvasback
50,Italy,"This robust red opens with aromas of espresso, plum cake, toast and dark spice. The hearty palate offers blackberry jam, licorice, vanilla and mocha alongside firm fine-grained tannins. A coffee note closes the finish.",Riserva,90,100.0,Tuscany,Brunello di Montalcino,,Sangiovese,Capanne Ricci
